"nav","nav_date","scheme_id","fund_house","scheme_name","pay_out","type","category","sub_category"
"13.7748","2018-01-31","133120","Sundaram Mutual Fund","Sundaram World Brand Fund Series II Direct Plan Growth","INF903J01Z23","Close Ended Schemes "," Growth ",NULL
"13.5307","2018-01-31","133119","Sundaram Mutual Fund","Sundaram World Brand Fund Series II Regular Plan Dividend Payout","INF903J01Z15","Close Ended Schemes "," Growth ",NULL
"13.5307","2018-01-31","133118","Sundaram Mutual Fund","Sundaram World Brand Fund Series II Regular Plan Growth","INF903J01Z07","Close Ended Schemes "," Growth ",NULL
"16.2601","2018-01-31","133557","Sundaram Mutual Fund","Sundaram Value Fund Series II Regular Plan Growth","INF903J014C5","Close Ended Schemes "," Growth ",NULL
"10.0663","2018-01-31","141915","Sundaram Mutual Fund","Sundaram Value Fund Series IX Direct Plan - Growth","INF903JA1BL8","Close Ended Schemes "," Growth ",NULL
"16.9548","2018-01-31","136086","Sundaram Mutual Fund","Sundaram Value Fund Series III Regular Plan Growth","INF903J015Y6","Close Ended Schemes "," Growth ",NULL
"15.6852","2018-01-31","136087","Sundaram Mutual Fund","Sundaram Value Fund Series III Regular Plan Dividend payout","INF903J016Y4","Close Ended Schemes "," Growth ",NULL
"15.8587","2018-01-31","136089","Sundaram Mutual Fund","Sundaram Value Fund Series III Direct Plan Dividend Payout","INF903J018Y0","Close Ended Schemes "," Growth ",NULL
"17.1383","2018-01-31","136088","Sundaram Mutual Fund","Sundaram Value Fund Series  Direct Plan Growth","INF903J017Y2","Close Ended Schemes "," Growth ",NULL
"15.0125","2018-01-31","133558","Sundaram Mutual Fund","Sundaram Value Fund Series II Regular Plan Dividend Payout","INF903J015C2","Close Ended Schemes "," Growth ",NULL
"16.4916","2018-01-31","133559","Sundaram Mutual Fund","Sundaram Value Fund Series II Direct Plan Growth","INF903J016C0","Close Ended Schemes "," Growth ",NULL
"15.2391","2018-01-31","133560","Sundaram Mutual Fund","Sundaram Value Fund Series II Direct Plan Dividend Payout","INF903J017C8","Close Ended Schemes "," Growth ",NULL
"12.0561","2018-01-31","140749","Sundaram Mutual Fund","SUNDARAM TOP 100 SERIES VII REGULAR PLAN GROWTH","INF903JA1856","Close Ended Schemes "," Growth ",NULL
"12.0561","2018-01-31","140752","Sundaram Mutual Fund","Sundaram Top 100 Series VII REGULAR PLAN DIVIDEND PAYOUT","INF903JA1864","Close Ended Schemes "," Growth ",NULL
"12.1726","2018-01-31","140751","Sundaram Mutual Fund","Sundaram Top 100 Series VII DIRECT PLAN GROWTH","INF903JA1872","Close Ended Schemes "," Growth ",NULL
"12.1726","2018-01-31","140750","Sundaram Mutual Fund","Sundaram Top 100 Series VII DIRECT PLAN DIVIDEND PAYOUT","INF903JA1880","Close Ended Schemes "," Growth ",NULL
"12.2527","2018-01-31","140578","Sundaram Mutual Fund","Sundaram Top 100 Series VI Regular Plan Growth","INF903JA1732","Close Ended Schemes "," Growth ",NULL
"12.2527","2018-01-31","140576","Sundaram Mutual Fund","Sundaram Top 100 Series VI Regular Plan Dividend","INF903JA1740","Close Ended Schemes "," Growth ",NULL
"12.3978","2018-01-31","140575","Sundaram Mutual Fund","Sundaram Top 100 Series VI Direct Plan Growth","INF903JA1757","Close Ended Schemes "," Growth ",NULL
"12.3978","2018-01-31","140577","Sundaram Mutual Fund","Sundaram Top 100 Series VI Direct Plan Dividend Payout","INF903JA1765","Close Ended Schemes "," Growth ",NULL
"13.4644","2018-01-31","133588","Sundaram Mutual Fund","Sundaram Top 100 Series V Regular Plan Growth","INF903J018C6","Close Ended Schemes "," Growth ",NULL
"13.4644","2018-01-31","133589","Sundaram Mutual Fund","Sundaram Top 100 Series V Regular Plan Dividend Payout","INF903J019C4","Close Ended Schemes "," Growth ",NULL
"13.6371","2018-01-31","133590","Sundaram Mutual Fund","Sundaram Top 100 Series V Direct Plan Growth","INF903J010D1","Close Ended Schemes "," Growth ",NULL
"13.6371","2018-01-31","133591","Sundaram Mutual Fund","Sundaram Top 100 Series V Direct Plan Dividend Payout","INF903J011D9","Close Ended Schemes "," Growth ",NULL
"10.2568","2018-01-31","141560","Sundaram Mutual Fund","Sundaram Select Small Cap Series VI Regular Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW)","INF903JA1AU1","Close Ended Schemes "," Growth ",NULL
"10.2568","2018-01-31","141563","Sundaram Mutual Fund","Sundaram Select Small Cap Series VI Regular Plan - Growth","INF903JA1AT3","Close Ended Schemes "," Growth ",NULL
"10.3185","2018-01-31","141562","Sundaram Mutual Fund","Sundaram Select Small Cap Series VI Direct Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW)","INF903JA1AW7","Close Ended Schemes "," Growth ",NULL
